,nb_nerons,nb_layers,act_fct,de_loss_avg,param_loss
N1024_L4_elu,1024,4,elu,8.720123643926968,14.963832270692627
N128_L5_selu,128,5,selu,13.04538475377199,11.105874099420692
N8_L2_relu,8,2,relu,45.410450805172964,4.653960350157523
N32_L4_selu,32,4,selu,80.64809928378872,8.10076824307173
N128_L5_selu,128,5,selu,10.862776615754568,11.105874099420692
N16_L6_relu,16,6,relu,67.82005984644849,7.261927092702751
N32_L1_relu,32,1,relu,55.577210290956145,4.859812404361672
N64_L4_elu,64,4,elu,10.636118112226224,9.45226642258976
N128_L3_relu,128,3,relu,7.150340562110673,10.420404585938435
N8_L1_selu,8,1,selu,54.225622876353285,3.4965075614664802
N512_L2_relu,512,2,relu,6.606981135520977,12.486371277345443
N64_L4_relu,64,4,relu,12.884920080047895,9.45226642258976
N16_L4_selu,16,4,selu,70.46920487828297,6.78105762593618
N8_L2_relu,8,2,relu,68.94312788747602,4.653960350157523
N32_L5_elu,32,5,elu,39.22823927038509,8.378620541552298
N16_L1_relu,16,1,relu,59.06495877472156,4.174387269895637
N128_L2_selu,128,2,selu,22.747128895880362,9.742438131017714
N1024_L2_selu,1024,2,selu,7.2838002439945475,13.867815490473383
N128_L3_elu,128,3,elu,8.582123419874398,10.420404585938435
N64_L6_selu,64,6,selu,21.863231528968644,9.954988325398531
N16_L1_elu,16,1,elu,54.63617328313466,4.174387269895637
N64_L6_elu,64,6,elu,11.25332412675335,9.954988325398531
N128_L5_relu,128,5,relu,9.113152648315584,11.105874099420692
N256_L5_selu,256,5,selu,7.284003017752802,12.484435175639875
N64_L6_selu,64,6,selu,23.145684768371233,9.954988325398531
N16_L4_relu,16,4,relu,79.24098110740056,6.78105762593618
N512_L3_selu,512,3,selu,7.361648922976615,13.175640602499255
N8_L5_selu,8,5,selu,72.22014814852646,5.771441123130016
N32_L6_elu,32,6,elu,23.95514360552632,8.595819511871428
N8_L1_relu,8,1,relu,40.83009611596786,3.4965075614664802
N256_L3_elu,256,3,elu,7.309357968944223,11.795160227733778
N64_L2_elu,64,2,elu,35.831981338386825,8.393216011596527
N1024_L1_relu,1024,1,relu,36.60859764407971,8.318010277546872
N512_L5_relu,512,5,relu,7.5016428378998485,13.866843201577634
N1024_L5_elu,1024,5,elu,9.725249302168452,15.251189430403857
N256_L4_relu,256,4,relu,7.61009190217238,12.198045514142787
N16_L3_elu,16,3,elu,80.51887447930643,6.411818267709897
N256_L3_selu,256,3,selu,7.967829057581024,11.795160227733778
N1024_L1_elu,1024,1,elu,34.232599531080766,8.318010277546872
N16_L6_selu,16,6,selu,51.99050746324028,7.261927092702751
N256_L6_elu,256,6,elu,8.619317521775837,12.70680247786412
N512_L2_relu,512,2,relu,6.978281234132428,12.486371277345443
N256_L3_elu,256,3,elu,9.479679231091634,11.795160227733778
N512_L2_elu,512,2,elu,7.51227828572112,12.486371277345443
N1024_L3_selu,1024,3,selu,6.907987658422809,14.559016671532099
N64_L1_relu,64,1,relu,54.459371652457435,5.54907608489522
N1024_L2_relu,1024,2,relu,6.875523894326572,13.867815490473383
N64_L4_elu,64,4,elu,13.67714440430552,9.45226642258976
N512_L4_elu,512,4,elu,7.758316093206329,13.579809743199016
N64_L3_selu,64,3,selu,15.463346721666023,9.056839480990421
N16_L3_relu,16,3,relu,56.16492153628639,6.411818267709897
N32_L1_relu,32,1,relu,64.06853180782487,4.859812404361672
N512_L4_elu,512,4,elu,6.87101702568505,13.579809743199016
N32_L2_selu,32,2,selu,60.38844692389596,7.077498053569231
N16_L4_elu,16,4,elu,51.91944485932513,6.78105762593618
N1024_L1_elu,1024,1,elu,35.65433677377798,8.318010277546872
N512_L4_elu,512,4,elu,6.920343266743338,13.579809743199016
N16_L4_selu,16,4,selu,78.44314742543742,6.78105762593618
N64_L5_relu,64,5,relu,11.73791478777441,9.73489137036065
N32_L4_relu,32,4,relu,56.07263265317331,8.10076824307173
N64_L1_elu,64,1,elu,62.49913287544082,5.54907608489522
N16_L4_selu,16,4,selu,92.28425209442452,6.78105762593618
N128_L1_selu,128,1,selu,66.1943989883047,6.240275845170769
N8_L1_elu,8,1,elu,54.399410215406185,3.4965075614664802
N1024_L5_relu,1024,5,relu,9.34091236817157,15.251189430403857
N16_L1_relu,16,1,relu,53.454276319790374,4.174387269895637
N64_L1_relu,64,1,relu,64.95277393413534,5.54907608489522
N1024_L2_relu,1024,2,relu,6.90070233040926,13.867815490473383
N128_L5_relu,128,5,relu,10.0538028443179,11.105874099420692
N32_L6_selu,32,6,selu,34.3413339394669,8.595819511871428
N128_L4_selu,128,4,selu,10.056994474315648,10.820757804523783
N512_L3_relu,512,3,relu,7.659150539192391,13.175640602499255
N32_L3_selu,32,3,selu,61.43307525552635,7.714677473800927
N32_L6_relu,32,6,relu,51.309097196081986,8.595819511871428
N8_L1_selu,8,1,selu,50.61505940202386,3.4965075614664802
N256_L1_elu,256,1,elu,61.68686342107659,6.932447891572509
N256_L1_relu,256,1,relu,59.9807288476486,6.932447891572509
N1024_L3_relu,1024,3,relu,7.097561369878446,14.559016671532099
N64_L5_selu,64,5,selu,18.124681428984122,9.73489137036065
N1024_L5_relu,1024,5,relu,8.687943603973055,15.251189430403857
N256_L1_elu,256,1,elu,65.14454557048765,6.932447891572509
N64_L5_selu,64,5,selu,16.024717683004322,9.73489137036065
N128_L3_elu,128,3,elu,12.18733450767067,10.420404585938435
N128_L2_relu,128,2,relu,20.30162490844916,9.742438131017714
N64_L3_relu,64,3,relu,45.82196063691247,9.056839480990421
N16_L1_relu,16,1,relu,56.89589575290488,4.174387269895637
N512_L4_elu,512,4,elu,8.24732034891379,13.579809743199016
N512_L3_selu,512,3,selu,6.7121457950491745,13.175640602499255
N1024_L3_elu,1024,3,elu,7.880175239963252,14.559016671532099
N512_L4_elu,512,4,elu,8.060082745000337,13.579809743199016
N128_L2_relu,128,2,relu,10.798342930160779,9.742438131017714
N8_L2_elu,8,2,elu,71.05792326864382,4.653960350157523
N16_L4_relu,16,4,relu,74.85949696569948,6.78105762593618
N512_L4_selu,512,4,selu,7.930909270548722,13.579809743199016
N32_L5_relu,32,5,relu,46.05376312964568,8.378620541552298
N16_L3_relu,16,3,relu,78.27151620465203,6.411818267709897
N16_L1_selu,16,1,selu,44.66591313413768,4.174387269895637
N512_L4_elu,512,4,elu,12.402373159583775,13.579809743199016
N128_L3_relu,128,3,relu,10.529118993400028,10.420404585938435
N8_L2_relu,8,2,relu,55.457179100652354,4.653960350157523
N32_L2_elu,32,2,elu,73.75712822934558,7.077498053569231
N512_L6_elu,512,6,elu,7.2197179886404825,14.089597382415743
N256_L3_selu,256,3,selu,9.101791474267914,11.795160227733778
N512_L1_elu,512,1,elu,55.317177220771796,7.6251071482389
N1024_L1_selu,1024,1,selu,35.578912921125514,8.318010277546872
N256_L4_relu,256,4,relu,7.111792671826144,12.198045514142787
N128_L2_relu,128,2,relu,35.38920842439216,9.742438131017714
N32_L3_selu,32,3,selu,71.77627692949007,7.714677473800927
N512_L3_elu,512,3,elu,6.85419872522615,13.175640602499255
N8_L5_relu,8,5,relu,63.616120053463604,5.771441123130016
N16_L6_relu,16,6,relu,96.79668128541759,7.261927092702751
N256_L4_relu,256,4,relu,7.594618607638175,12.198045514142787
N1024_L5_relu,1024,5,relu,7.860507460571965,15.251189430403857
N32_L2_selu,32,2,selu,64.14730807324007,7.077498053569231
N64_L1_relu,64,1,relu,65.63155641491606,5.54907608489522
N32_L3_relu,32,3,relu,67.64911326906197,7.714677473800927
N256_L3_selu,256,3,selu,10.244614032397223,11.795160227733778
N1024_L1_relu,1024,1,relu,35.65971413432876,8.318010277546872
N32_L3_relu,32,3,relu,69.61075801024397,7.714677473800927
N1024_L3_relu,1024,3,relu,6.883483579005676,14.559016671532099
N64_L5_relu,64,5,relu,16.54403382592195,9.73489137036065
N1024_L2_elu,1024,2,elu,6.867654380255999,13.867815490473383
N1024_L5_elu,1024,5,elu,8.008923749182447,15.251189430403857
N256_L5_relu,256,5,relu,6.8920699482380545,12.484435175639875
N512_L5_relu,512,5,relu,8.725417528202547,13.866843201577634
N256_L1_relu,256,1,relu,62.69588956308597,6.932447891572509
N256_L5_selu,256,5,selu,9.847290513179033,12.484435175639875
N16_L6_elu,16,6,elu,72.95946599409727,7.261927092702751
N512_L1_elu,512,1,elu,50.691403281609944,7.6251071482389
N32_L5_relu,32,5,relu,44.298583333868514,8.378620541552298
N256_L4_elu,256,4,elu,9.580474402488399,12.198045514142787
N512_L5_relu,512,5,relu,6.581610878723993,13.866843201577634
N256_L6_elu,256,6,elu,8.806068077253837,12.70680247786412
N256_L6_elu,256,6,elu,7.6329352351762605,12.70680247786412
N1024_L3_relu,1024,3,relu,7.677068421167724,14.559016671532099
N256_L3_relu,256,3,relu,6.921500312037587,11.795160227733778
N256_L3_elu,256,3,elu,7.9948460736825915,11.795160227733778
N128_L3_elu,128,3,elu,7.614584199264346,10.420404585938435
N512_L4_elu,512,4,elu,7.557302772453326,13.579809743199016
N1024_L6_selu,1024,6,selu,11.542486566922692,15.474137983388879
N16_L5_relu,16,5,relu,90.868642130998,7.050122520269059
N256_L3_elu,256,3,elu,7.800965228141668,11.795160227733778
N16_L4_elu,16,4,elu,61.54656509437615,6.78105762593618
N256_L5_elu,256,5,elu,7.375372547829263,12.484435175639875
N64_L2_relu,64,2,relu,75.66188360014407,8.393216011596527
N256_L5_relu,256,5,relu,7.912955361829673,12.484435175639875
N1024_L2_relu,1024,2,relu,6.59865987446984,13.867815490473383
N128_L5_selu,128,5,selu,11.208344112675876,11.105874099420692
N8_L2_relu,8,2,relu,59.21732204688656,4.653960350157523
N256_L3_selu,256,3,selu,7.660895549115543,11.795160227733778
N1024_L3_relu,1024,3,relu,7.951563140493069,14.559016671532099
N256_L6_elu,256,6,elu,9.51774626720688,12.70680247786412
N512_L3_selu,512,3,selu,7.685137480968487,13.175640602499255
N256_L3_relu,256,3,relu,7.646134739779752,11.795160227733778
N1024_L3_selu,1024,3,selu,8.015074590316216,14.559016671532099
N16_L4_relu,16,4,relu,82.27289331118756,6.78105762593618
N1024_L6_relu,1024,6,relu,10.860789329077232,15.474137983388879
N8_L5_elu,8,5,elu,64.87066390645569,5.771441123130016
N256_L5_relu,256,5,relu,6.677704605190527,12.484435175639875
N8_L4_relu,8,4,relu,65.12421175375796,5.517452896464707
N1024_L4_relu,1024,4,relu,8.399928335151417,14.963832270692627
N512_L2_elu,512,2,elu,6.137233328838631,12.486371277345443
N512_L2_elu,512,2,elu,7.801100701018424,12.486371277345443
N512_L6_elu,512,6,elu,8.207911179495683,14.089597382415743
N256_L3_elu,256,3,elu,9.127456180743257,11.795160227733778
N256_L2_elu,256,2,elu,9.780586920070625,11.109712818165356
N512_L5_elu,512,5,elu,8.621916352973333,13.866843201577634
N256_L4_elu,256,4,elu,9.612649723243814,12.198045514142787
N256_L5_selu,256,5,selu,8.997947602822297,12.484435175639875
N256_L5_selu,256,5,selu,8.350566127144575,12.484435175639875
N512_L2_relu,512,2,relu,7.056897398504905,12.486371277345443
N32_L5_relu,32,5,relu,38.1978854696716,8.378620541552298
N512_L3_selu,512,3,selu,8.303003614911248,13.175640602499255
N512_L3_elu,512,3,elu,8.807897761869318,13.175640602499255
N256_L4_relu,256,4,relu,8.41450182228403,12.198045514142787
N1024_L2_selu,1024,2,selu,6.869367686835463,13.867815490473383
N64_L3_relu,64,3,relu,14.17735901190475,9.056839480990421
N64_L1_elu,64,1,elu,57.74936218363354,5.54907608489522
N16_L1_elu,16,1,elu,56.28522536787517,4.174387269895637
N512_L3_relu,512,3,relu,7.210243112574728,13.175640602499255
N512_L2_elu,512,2,elu,7.2446789675656555,12.486371277345443
N512_L2_elu,512,2,elu,6.222938247675729,12.486371277345443
N512_L2_elu,512,2,elu,8.465759020495263,12.486371277345443
N512_L2_elu,512,2,elu,8.670030283889906,12.486371277345443
N1024_L1_relu,1024,1,relu,34.86355738174403,8.318010277546872
N1024_L1_relu,1024,1,relu,35.50790955037151,8.318010277546872
N1024_L1_relu,1024,1,relu,35.59814766941317,8.318010277546872
N1024_L1_relu,1024,1,relu,34.85962773397292,8.318010277546872
N512_L2_relu,512,2,relu,6.971404775760727,12.486371277345443
N512_L2_relu,512,2,relu,7.3769364564714675,12.486371277345443
N512_L2_relu,512,2,relu,6.636840087927281,12.486371277345443
N512_L2_relu,512,2,relu,6.7737290179767795,12.486371277345443
N512_L2_elu,512,2,elu,8.214487523228607,12.486371277345443
N512_L2_elu,512,2,elu,7.6907629232526,12.486371277345443
N512_L2_elu,512,2,elu,7.596100821059476,12.486371277345443
N512_L2_elu,512,2,elu,7.063194461580068,12.486371277345443
N512_L2_elu,512,2,elu,7.11814286766709,12.486371277345443
N512_L2_elu,512,2,elu,6.828585509716824,12.486371277345443
N512_L2_elu,512,2,elu,6.659213416836365,12.486371277345443
N512_L2_elu,512,2,elu,7.843499635698593,12.486371277345443
N512_L2_elu,512,2,elu,6.919026622283334,12.486371277345443
N512_L2_elu,512,2,elu,6.545003328565865,12.486371277345443
N512_L2_elu,512,2,elu,6.86729224135765,12.486371277345443
N512_L2_elu,512,2,elu,7.081171344932981,12.486371277345443
N512_L2_elu,512,2,elu,6.783793638970892,12.486371277345443
N512_L2_elu,512,2,elu,7.030946666459486,12.486371277345443
N512_L2_elu,512,2,elu,6.390744075428936,12.486371277345443
N512_L2_elu,512,2,elu,6.284154505193226,12.486371277345443
N512_L2_elu,512,2,elu,7.159674011832469,12.486371277345443
N512_L2_elu,512,2,elu,6.6782484315481145,12.486371277345443
N512_L2_elu,512,2,elu,7.692780201288911,12.486371277345443
N512_L2_elu,512,2,elu,7.025824023137616,12.486371277345443
N512_L2_elu,512,2,elu,6.367722880616658,12.486371277345443
N512_L2_elu,512,2,elu,6.989740757675722,12.486371277345443
N512_L2_elu,512,2,elu,6.446464636455148,12.486371277345443
N512_L2_elu,512,2,elu,6.211453605839233,12.486371277345443
N512_L2_elu,512,2,elu,7.498543975120832,12.486371277345443
N512_L2_elu,512,2,elu,8.107345908726735,12.486371277345443
N512_L2_elu,512,2,elu,7.03647343520977,12.486371277345443
N512_L2_elu,512,2,elu,8.282353430233258,12.486371277345443
N512_L2_elu,512,2,elu,9.337698705199566,12.486371277345443
N512_L2_elu,512,2,elu,7.186577378405274,12.486371277345443
N512_L2_elu,512,2,elu,8.10787060196252,12.486371277345443
N512_L2_elu,512,2,elu,7.088263262441931,12.486371277345443
N512_L2_elu,512,2,elu,7.483156694766384,12.486371277345443
N512_L2_elu,512,2,elu,6.919145701599257,12.486371277345443
N512_L2_elu,512,2,elu,7.215383781295675,12.486371277345443
N512_L2_elu,512,2,elu,7.276678370675678,12.486371277345443
N512_L2_elu,512,2,elu,6.501723765132158,12.486371277345443
N512_L2_elu,512,2,elu,9.172762688960107,12.486371277345443
N512_L2_elu,512,2,elu,6.84138579193284,12.486371277345443
N512_L2_elu,512,2,elu,8.009667750734994,12.486371277345443
N512_L2_elu,512,2,elu,6.58855584411904,12.486371277345443
N512_L2_elu,512,2,elu,6.486932997725913,12.486371277345443
N512_L2_elu,512,2,elu,8.127063582829301,12.486371277345443
N512_L2_elu,512,2,elu,7.019588918519021,12.486371277345443
N512_L2_elu,512,2,elu,6.917989887989078,12.486371277345443
N512_L2_elu,512,2,elu,7.279716009600306,12.486371277345443
N512_L2_elu,512,2,elu,7.701479689562824,12.486371277345443
N512_L2_elu,512,2,elu,5.938231697296452,12.486371277345443
N512_L2_elu,512,2,elu,7.9175141287563635,12.486371277345443
N512_L2_elu,512,2,elu,7.409541861662681,12.486371277345443
N512_L2_elu,512,2,elu,6.704772790985707,12.486371277345443
N512_L2_elu,512,2,elu,7.821471078621393,12.486371277345443
N512_L2_elu,512,2,elu,6.912738862279729,12.486371277345443
N512_L2_elu,512,2,elu,7.246391290916344,12.486371277345443
N512_L2_elu,512,2,elu,6.4095939590167115,12.486371277345443
N512_L2_elu,512,2,elu,7.15728312244245,12.486371277345443
N512_L2_elu,512,2,elu,7.633035503630221,12.486371277345443
N512_L2_elu,512,2,elu,6.64260482924798,12.486371277345443
N512_L2_elu,512,2,elu,6.3908503165061115,12.486371277345443
N512_L2_elu,512,2,elu,7.8720061075620125,12.486371277345443
N512_L2_elu,512,2,elu,6.736422026482344,12.486371277345443
N512_L2_elu,512,2,elu,7.942948726391829,12.486371277345443
N512_L2_elu,512,2,elu,7.388167124454472,12.486371277345443
N512_L2_elu,512,2,elu,6.743617394147001,12.486371277345443
N512_L2_elu,512,2,elu,8.21794231188183,12.486371277345443
N512_L2_elu,512,2,elu,6.4076321272868775,12.486371277345443
N512_L2_elu,512,2,elu,6.410110279488097,12.486371277345443
N512_L2_elu,512,2,elu,7.557852916907816,12.486371277345443
N512_L2_elu,512,2,elu,6.208889679318261,12.486371277345443
N512_L2_elu,512,2,elu,5.994849446543572,12.486371277345443
N512_L2_elu,512,2,elu,7.918958337584795,12.486371277345443
N512_L2_elu,512,2,elu,5.722739068990362,12.486371277345443
N512_L2_elu,512,2,elu,7.412374460890203,12.486371277345443
N512_L2_elu,512,2,elu,7.845437651565242,12.486371277345443
N512_L2_elu,512,2,elu,6.606325455037675,12.486371277345443
N512_L2_elu,512,2,elu,8.047776108813308,12.486371277345443
N512_L2_elu,512,2,elu,9.087734103425168,12.486371277345443
N512_L2_elu,512,2,elu,7.450141210180961,12.486371277345443
N512_L2_elu,512,2,elu,8.872056157933672,12.486371277345443
N512_L2_elu,512,2,elu,6.854246358052542,12.486371277345443
N512_L2_elu,512,2,elu,7.102180099306158,12.486371277345443
N512_L2_elu,512,2,elu,6.69823124319004,12.486371277345443
N512_L2_elu,512,2,elu,7.244323776293628,12.486371277345443
N512_L2_elu,512,2,elu,7.048560543960265,12.486371277345443
N512_L2_elu,512,2,elu,6.4596465306664115,12.486371277345443
N512_L2_elu,512,2,elu,8.077330106533989,12.486371277345443
N512_L2_elu,512,2,elu,6.836807006174163,12.486371277345443
N512_L2_elu,512,2,elu,7.172386473052992,12.486371277345443
N512_L2_elu,512,2,elu,7.548741488625382,12.486371277345443
N512_L2_elu,512,2,elu,7.17174567748418,12.486371277345443
N512_L2_elu,512,2,elu,6.769367924092524,12.486371277345443
N512_L2_elu,512,2,elu,6.917284343042233,12.486371277345443
N512_L2_elu,512,2,elu,7.765512358963335,12.486371277345443
N512_L2_elu,512,2,elu,6.743194848636905,12.486371277345443
N512_L2_elu,512,2,elu,7.186346848292104,12.486371277345443
N512_L2_elu,512,2,elu,6.199048704164367,12.486371277345443
N512_L2_elu,512,2,elu,8.393850370715022,12.486371277345443
N512_L2_elu,512,2,elu,6.987785252034546,12.486371277345443
N512_L2_elu,512,2,elu,6.772831829755871,12.486371277345443
N512_L2_elu,512,2,elu,5.787945041775578,12.486371277345443
N512_L2_elu,512,2,elu,8.914093389191725,12.486371277345443
N512_L2_elu,512,2,elu,7.068402321037395,12.486371277345443
N512_L2_elu,512,2,elu,7.004538967539212,12.486371277345443
N512_L2_elu,512,2,elu,8.0223478372665,12.486371277345443
N512_L2_elu,512,2,elu,7.548212329915248,12.486371277345443
N512_L2_elu,512,2,elu,7.637537446017841,12.486371277345443
N512_L2_elu,512,2,elu,7.485601541971432,12.486371277345443
N512_L2_elu,512,2,elu,7.935164660359075,12.486371277345443
N512_L2_elu,512,2,elu,6.42905858957294,12.486371277345443
N512_L2_elu,512,2,elu,8.320829817822347,12.486371277345443
N512_L2_elu,512,2,elu,7.27516048152052,12.486371277345443
N512_L2_elu,512,2,elu,6.681798297592643,12.486371277345443
N512_L2_elu,512,2,elu,6.685447520441395,12.486371277345443
N512_L2_elu,512,2,elu,7.401717606360804,12.486371277345443
N512_L2_elu,512,2,elu,7.528366645548065,12.486371277345443
N512_L2_elu,512,2,elu,7.492368224098766,12.486371277345443
N512_L2_elu,512,2,elu,6.795352519318409,12.486371277345443
N512_L2_elu,512,2,elu,8.127453195466087,12.486371277345443
N512_L2_elu,512,2,elu,6.037543660714944,12.486371277345443
N512_L2_elu,512,2,elu,7.300195047079056,12.486371277345443
